Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
27/10/2018,Girona,Vallecano,2,1,H,14,14,6,5,11,16,4,7,1,3,1,0,LL
27/10/2018,Levante,Leganes,2,0,H,9,21,4,6,12,14,3,2,2,2,0,0,LL
28/10/2018,Alaves,Villarreal,2,1,H,19,9,6,2,9,11,8,4,1,1,0,0,LL
28/10/2018,Barcelona,Real Madrid,5,1,H,13,15,8,4,17,14,4,2,2,2,0,0,LL
28/10/2018,Getafe,Betis,2,0,H,16,7,7,3,9,14,5,4,1,2,0,0,LL
28/10/2018,Sevilla,Huesca,2,1,H,15,11,4,2,9,14,4,2,2,3,0,0,LL
03/11/2018,Leganes,Ath Madrid,1,1,D,8,9,3,4,18,12,4,7,4,2,0,0,LL
03/11/2018,Real Madrid,Valladolid,2,0,H,16,12,7,2,14,7,8,6,1,0,0,0,LL
03/11/2018,Valencia,Girona,0,1,A,27,5,9,3,14,13,11,2,4,4,0,0,LL
03/11/2018,Vallecano,Barcelona,2,3,A,11,9,5,5,23,11,3,1,4,2,0,0,LL
04/11/2018,Betis,Celta,3,3,D,14,14,6,7,12,11,4,4,4,2,0,0,LL
04/11/2018,Eibar,Alaves,2,1,H,23,9,8,3,11,7,13,1,4,0,1,1,LL
04/11/2018,Huesca,Getafe,1,1,D,18,8,7,2,18,13,10,2,5,3,0,0,LL
04/11/2018,Sociedad,Sevilla,0,0,D,10,8,1,1,8,17,7,7,1,3,0,0,LL
04/11/2018,Villarreal,Levante,1,1,D,23,13,4,2,14,10,5,4,3,3,0,0,LL
05/11/2018,Espanol,Ath Bilbao,1,0,H,8,10,3,2,15,13,2,1,1,3,0,0,LL
09/11/2018,Levante,Sociedad,1,3,A,17,15,2,4,17,12,6,4,6,1,0,0,LL
10/11/2018,Ath Madrid,Ath Bilbao,3,2,H,9,6,3,5,8,15,12,2,5,4,0,1,LL
10/11/2018,Getafe,Valencia,0,1,A,17,7,3,3,23,8,6,4,3,3,1,0,LL
10/11/2018,Girona,Leganes,0,0,D,5,10,0,1,13,13,0,6,1,4,0,0,LL
10/11/2018,Valladolid,Eibar,0,0,D,9,16,1,6,16,15,4,4,2,4,0,1,LL
11/11/2018,Alaves,Huesca,2,1,H,13,9,5,2,20,13,5,4,3,4,0,0,LL
11/11/2018,Barcelona,Betis,3,4,A,20,15,5,8,13,11,10,5,4,2,1,0,LL
11/11/2018,Celta,Real Madrid,2,4,A,15,14,4,5,19,13,5,1,4,2,1,0,LL
11/11/2018,Sevilla,Espanol,2,1,H,23,15,10,7,18,10,6,3,4,2,0,0,LL
11/11/2018,Vallecano,Villarreal,2,2,D,15,11,7,5,7,12,8,4,1,3,0,1,LL
23/11/2018,Leganes,Alaves,1,0,H,13,7,6,2,10,13,5,3,2,4,0,0,LL
24/11/2018,Ath Madrid,Barcelona,1,1,D,3,8,1,2,19,12,2,8,5,3,0,0,LL
24/11/2018,Eibar,Real Madrid,3,0,H,14,9,8,3,17,8,5,4,2,1,0,0,LL
24/11/2018,Huesca,Levante,2,2,D,32,5,12,3,11,8,7,2,4,3,1,0,LL
