Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
08/12/2024,19:45,St Etienne,Marseille,0,2,A,3,21,2,10,13,10,0,9,1,1,0,0,Ligue1
13/12/2024,19:45,Toulouse,St Etienne,2,1,H,11,3,4,2,16,15,2,3,3,4,0,0,Ligue1
14/12/2024,16:00,Marseille,Lille,1,1,D,9,10,3,5,14,9,3,8,1,3,1,0,Ligue1
14/12/2024,18:00,Auxerre,Lens,2,2,D,10,16,3,5,10,10,3,5,3,1,0,0,Ligue1
14/12/2024,20:00,Reims,Monaco,0,0,D,8,14,0,3,15,22,1,4,1,3,0,0,Ligue1
15/12/2024,14:00,Montpellier,Nice,2,2,D,20,18,8,6,15,13,9,4,1,2,0,0,Ligue1
15/12/2024,16:00,Brest,Nantes,4,1,H,13,16,8,7,10,14,0,5,3,3,0,0,Ligue1
15/12/2024,16:00,Le Havre,Strasbourg,0,3,A,11,9,1,5,11,7,3,2,0,1,0,0,Ligue1
15/12/2024,16:00,Rennes,Angers,2,0,H,7,3,4,0,18,12,2,1,3,1,0,0,Ligue1
15/12/2024,19:45,Paris SG,Lyon,3,1,H,13,7,6,3,7,8,4,3,2,3,0,0,Ligue1
18/12/2024,20:00,Monaco,Paris SG,2,4,A,15,17,5,12,11,11,1,9,2,0,0,0,Ligue1
03/01/2025,20:00,Nice,Rennes,3,2,H,9,10,6,5,11,14,3,3,3,3,1,0,Ligue1
04/01/2025,16:00,St Etienne,Reims,3,1,H,14,11,4,1,19,10,6,9,2,1,0,0,Ligue1
04/01/2025,18:00,Lille,Nantes,1,1,D,13,6,3,2,6,10,2,0,1,2,0,0,Ligue1
04/01/2025,20:00,Lyon,Montpellier,1,0,H,12,16,2,6,8,10,3,5,1,2,0,0,Ligue1
05/01/2025,14:00,Angers,Brest,2,0,H,7,12,2,4,14,11,2,4,2,1,0,0,Ligue1
05/01/2025,14:00,Lens,Toulouse,0,1,A,14,8,1,4,20,12,7,1,5,2,1,0,Ligue1
05/01/2025,14:00,Strasbourg,Auxerre,3,1,H,11,14,4,7,10,13,4,3,1,2,0,0,Ligue1
05/01/2025,19:45,Marseille,Le Havre,5,1,H,15,4,9,1,12,6,4,0,1,0,0,0,Ligue1
10/01/2025,18:00,Nantes,Monaco,2,2,D,10,15,4,7,17,14,3,11,3,0,0,0,Ligue1
10/01/2025,20:05,Auxerre,Lille,0,0,D,13,13,3,5,7,8,6,10,0,4,1,0,Ligue1
11/01/2025,16:00,Brest,Lyon,2,1,H,11,10,6,3,10,10,4,7,1,2,0,0,Ligue1
11/01/2025,18:00,Reims,Nice,2,4,A,12,15,3,10,12,7,6,3,4,2,0,0,Ligue1
11/01/2025,20:05,Rennes,Marseille,1,2,A,5,13,4,7,11,13,2,3,2,2,0,0,Ligue1
12/01/2025,14:00,Le Havre,Lens,1,2,A,8,25,4,7,11,14,3,8,2,2,0,0,Ligue1
12/01/2025,16:15,Montpellier,Angers,1,3,A,8,21,3,8,11,15,3,3,6,2,2,0,Ligue1
12/01/2025,16:15,Toulouse,Strasbourg,1,2,A,19,8,5,2,12,14,3,2,1,4,0,0,Ligue1
12/01/2025,19:45,Paris SG,St Etienne,2,1,H,25,8,9,3,16,11,7,3,1,2,0,0,Ligue1
17/01/2025,18:00,Montpellier,Monaco,2,1,H,12,26,4,11,7,9,4,16,1,2,0,0,Ligue1
17/01/2025,20:05,Lille,Nice,2,1,H,11,11,4,3,13,13,7,7,1,3,0,0,Ligue1
18/01/2025,16:00,Lens,Paris SG,1,2,A,10,9,5,7,12,8,6,1,2,2,0,0,Ligue1
18/01/2025,18:00,Rennes,Brest,1,2,A,22,10,9,3,13,11,4,4,2,3,0,0,Ligue1
18/01/2025,20:05,Lyon,Toulouse,0,0,D,11,13,3,4,8,8,8,5,1,0,0,0,Ligue1
19/01/2025,14:00,St Etienne,Nantes,1,1,D,12,8,2,4,9,11,7,7,2,1,0,0,Ligue1
19/01/2025,16:15,Angers,Auxerre,2,0,H,12,10,4,4,9,10,4,2,2,1,0,1,Ligue1
19/01/2025,16:15,Reims,Le Havre,1,1,D,11,7,3,2,9,8,6,6,2,2,0,0,Ligue1
19/01/2025,19:45,Marseille,Strasbourg,1,1,D,18,7,3,3,13,14,9,3,3,3,0,0,Ligue1
24/01/2025,19:45,Auxerre,St Etienne,1,1,D,11,8,5,3,15,13,3,4,2,0,0,0,Ligue1
25/01/2025,16:00,Monaco,Rennes,3,2,H,20,14,10,5,12,16,4,2,3,3,0,0,Ligue1
25/01/2025,18:00,Strasbourg,Lille,2,1,H,11,15,7,6,10,9,6,7,4,2,0,0,Ligue1
25/01/2025,20:05,Paris SG,Reims,1,1,D,18,6,7,3,13,13,8,1,2,2,0,0,Ligue1
26/01/2025,14:00,Le Havre,Brest,0,1,A,11,17,1,9,12,14,6,6,2,3,0,0,Ligue1
26/01/2025,16:15,Lens,Angers,1,0,H,16,2,4,0,16,10,4,4,1,1,0,0,Ligue1
26/01/2025,16:15,Nantes,Lyon,1,1,D,7,15,5,4,14,11,4,8,3,1,0,0,Ligue1
26/01/2025,16:15,Toulouse,Montpellier,1,2,A,15,6,6,4,9,15,6,2,1,2,0,0,Ligue1
26/01/2025,19:45,Nice,Marseille,2,0,H,14,18,5,6,12,9,6,12,1,1,0,0,Ligue1
31/01/2025,19:45,Montpellier,Lens,0,2,A,14,19,2,5,12,17,4,5,4,3,0,0,Ligue1
01/02/2025,16:00,Brest,Paris SG,2,5,A,14,14,7,7,9,12,4,7,1,0,0,0,Ligue1
01/02/2025,18:00,Monaco,Auxerre,4,2,H,11,12,6,7,17,15,5,4,2,2,0,0,Ligue1
01/02/2025,20:05,Lille,St Etienne,4,1,H,29,9,13,2,11,12,7,1,1,1,0,1,Ligue1
02/02/2025,14:00,Toulouse,Nice,1,1,D,15,13,4,3,20,20,7,2,2,2,0,0,Ligue1
02/02/2025,16:15,Angers,Le Havre,1,1,D,17,13,2,5,8,19,4,2,2,4,1,1,Ligue1
02/02/2025,16:15,Reims,Nantes,1,2,A,13,11,2,6,14,10,9,3,3,3,1,0,Ligue1
02/02/2025,16:15,Rennes,Strasbourg,1,0,H,13,7,3,3,14,10,6,2,3,3,0,0,Ligue1
02/02/2025,19:45,Marseille,Lyon,3,2,H,20,10,11,4,13,10,6,2,4,1,0,0,Ligue1
07/02/2025,18:00,Nantes,Brest,0,2,A,15,10,2,6,15,13,12,4,3,2,0,0,Ligue1
07/02/2025,20:05,Paris SG,Monaco,4,1,H,16,9,7,3,9,11,1,1,1,0,0,0,Ligue1
08/02/2025,16:00,Nice,Lens,2,0,H,16,12,8,3,6,19,7,3,1,4,0,1,Ligue1
08/02/2025,18:00,Lille,Le Havre,1,2,A,14,14,5,6,16,8,8,10,2,1,0,0,Ligue1
08/02/2025,20:05,St Etienne,Rennes,0,2,A,9,21,3,9,13,6,2,4,1,5,0,0,Ligue1
