Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
23/10/2021,20:00,Lille,Brest,1,1,D,13,13,3,5,10,15,5,4,1,2,0,0,Ligue1
24/10/2021,12:00,Nice,Lyon,3,2,H,17,13,7,8,11,7,3,2,1,0,0,1,Ligue1
24/10/2021,14:00,Lens,Metz,4,1,H,11,9,5,4,9,13,5,6,2,3,0,0,Ligue1
24/10/2021,14:00,Lorient,Bordeaux,1,1,D,14,11,4,5,12,13,9,4,4,2,0,1,Ligue1
24/10/2021,14:00,Reims,Troyes,1,2,A,18,7,5,4,14,13,7,1,4,2,1,0,Ligue1
24/10/2021,14:00,Rennes,Strasbourg,1,0,H,17,8,3,2,6,11,11,6,1,2,0,0,Ligue1
24/10/2021,16:00,Monaco,Montpellier,3,1,H,14,12,4,3,14,16,4,4,1,4,0,0,Ligue1
24/10/2021,19:45,Marseille,Paris SG,0,0,D,15,10,1,4,7,8,4,5,1,2,0,1,Ligue1
27/10/2021,20:00,Nice,Marseille,1,1,D,11,7,3,1,16,8,6,5,2,2,0,0,Ligue1
29/10/2021,20:00,Paris SG,Lille,2,1,H,17,11,6,3,7,10,4,5,1,5,0,0,Ligue1
30/10/2021,16:00,Metz,St Etienne,1,1,D,9,10,4,3,16,11,5,8,0,3,0,0,Ligue1
30/10/2021,20:00,Lyon,Lens,2,1,H,13,18,4,10,7,13,3,5,1,2,0,0,Ligue1
31/10/2021,12:00,Angers,Nice,1,2,A,3,14,2,5,14,9,3,8,1,2,0,0,Ligue1
31/10/2021,14:00,Bordeaux,Reims,3,2,H,17,12,7,8,5,10,12,2,3,2,0,0,Ligue1
31/10/2021,14:00,Montpellier,Nantes,2,0,H,19,12,10,1,12,23,5,5,3,5,0,0,Ligue1
31/10/2021,14:00,Strasbourg,Lorient,4,0,H,15,5,6,0,12,10,6,3,1,0,0,0,Ligue1
31/10/2021,14:00,Troyes,Rennes,2,2,D,14,13,5,5,6,15,5,12,0,1,0,0,Ligue1
31/10/2021,16:00,Brest,Monaco,2,0,H,7,5,3,2,8,17,2,5,1,5,0,0,Ligue1
31/10/2021,19:45,Clermont,Marseille,0,1,A,12,9,1,4,14,11,4,2,1,4,0,0,Ligue1
05/11/2021,20:00,Lens,Troyes,4,0,H,28,14,12,6,14,8,4,2,1,1,0,0,Ligue1
06/11/2021,16:00,Lille,Angers,1,1,D,11,9,6,5,13,9,4,8,2,2,1,0,Ligue1
06/11/2021,20:00,Bordeaux,Paris SG,2,3,A,18,9,6,5,9,10,10,5,2,1,0,0,Ligue1
07/11/2021,12:00,Marseille,Metz,0,0,D,15,12,3,4,8,9,9,7,1,3,0,1,Ligue1
07/11/2021,14:00,Lorient,Brest,1,2,A,9,16,3,5,10,8,3,6,1,1,1,0,Ligue1
07/11/2021,14:00,Nantes,Strasbourg,2,2,D,20,17,6,6,15,12,9,5,2,1,0,1,Ligue1
07/11/2021,14:00,Reims,Monaco,0,0,D,11,12,4,3,9,13,5,6,0,2,0,0,Ligue1
07/11/2021,14:00,St Etienne,Clermont,3,2,H,18,9,4,4,7,10,9,2,1,1,0,0,Ligue1
07/11/2021,16:00,Nice,Montpellier,0,1,A,22,8,6,2,9,7,8,2,2,0,0,0,Ligue1
07/11/2021,19:45,Rennes,Lyon,4,1,H,25,6,12,4,12,12,7,2,2,2,0,0,Ligue1
19/11/2021,20:00,Monaco,Lille,2,2,D,17,15,8,8,15,16,6,5,3,5,1,0,Ligue1
20/11/2021,16:00,Paris SG,Nantes,3,1,H,14,12,7,6,8,12,4,3,1,2,1,0,Ligue1
20/11/2021,20:00,Rennes,Montpellier,2,0,H,30,4,7,2,9,10,8,2,1,3,0,1,Ligue1
21/11/2021,12:00,Brest,Lens,4,0,H,13,14,5,5,7,7,5,5,1,2,0,1,Ligue1
21/11/2021,14:00,Angers,Lorient,1,0,H,8,10,4,3,15,13,6,3,4,0,0,0,Ligue1
21/11/2021,14:00,Metz,Bordeaux,3,3,D,20,19,9,5,12,11,2,4,2,2,1,0,Ligue1
21/11/2021,14:00,Strasbourg,Reims,1,1,D,21,10,3,3,8,13,5,4,1,4,0,0,Ligue1
21/11/2021,14:00,Troyes,St Etienne,0,1,A,15,14,3,4,13,11,6,8,1,4,0,0,Ligue1
