Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
04/11/2023,14:30,Freiburg,M'gladbach,3,3,D,15,10,8,5,7,10,8,2,2,2,0,0
04/11/2023,14:30,Hoffenheim,Leverkusen,2,3,A,12,10,7,4,6,10,4,3,3,2,0,0
04/11/2023,14:30,Mainz,RB Leipzig,2,0,H,10,10,3,2,13,9,2,7,3,1,0,0
04/11/2023,14:30,Union Berlin,Ein Frankfurt,0,3,A,10,4,3,3,13,8,9,1,0,1,0,0
04/11/2023,17:30,Dortmund,Bayern Munich,0,4,A,15,14,1,8,14,6,3,2,3,2,0,0
05/11/2023,14:30,Wolfsburg,Werder Bremen,2,2,D,15,13,5,4,14,17,5,2,4,1,1,0
05/11/2023,16:30,Heidenheim,Stuttgart,2,0,H,19,14,2,2,7,13,9,6,2,2,0,0
10/11/2023,19:30,M'gladbach,Wolfsburg,4,0,H,16,12,8,4,7,12,8,5,1,3,0,0
11/11/2023,14:30,Augsburg,Hoffenheim,1,1,D,11,12,6,6,9,11,3,5,1,2,0,0
11/11/2023,14:30,Bayern Munich,Heidenheim,4,2,H,18,7,8,2,8,8,7,2,1,0,0,0
11/11/2023,14:30,Darmstadt,Mainz,0,0,D,9,9,3,0,20,15,0,5,3,3,0,0
11/11/2023,14:30,Stuttgart,Dortmund,2,1,H,22,5,10,1,13,16,6,1,2,3,0,0
11/11/2023,17:30,Bochum,FC Koln,1,1,D,25,10,9,6,14,19,3,3,4,1,0,0
12/11/2023,14:30,Leverkusen,Union Berlin,4,0,H,19,2,10,2,8,5,10,1,0,1,0,0
12/11/2023,16:30,Werder Bremen,Ein Frankfurt,2,2,D,14,14,5,3,3,10,3,7,1,3,0,0
12/11/2023,18:30,RB Leipzig,Freiburg,3,1,H,15,9,6,3,10,12,7,3,2,0,0,0
24/11/2023,19:30,FC Koln,Bayern Munich,0,1,A,6,19,2,5,6,4,3,12,0,1,0,0
25/11/2023,14:30,Dortmund,M'gladbach,4,2,H,20,10,13,3,11,11,5,4,1,2,0,0
25/11/2023,14:30,Freiburg,Darmstadt,1,1,D,16,7,3,1,15,15,11,2,2,0,0,0
25/11/2023,14:30,Union Berlin,Augsburg,1,1,D,16,11,6,2,10,15,3,4,2,2,0,0
25/11/2023,14:30,Werder Bremen,Leverkusen,0,3,A,2,13,1,4,15,4,1,6,3,1,0,0
25/11/2023,14:30,Wolfsburg,RB Leipzig,2,1,H,10,26,4,10,18,11,1,12,4,2,0,0
25/11/2023,17:30,Ein Frankfurt,Stuttgart,1,2,A,14,11,1,5,14,8,4,2,0,1,0,0
26/11/2023,14:30,Heidenheim,Bochum,0,0,D,9,9,3,2,14,7,6,5,4,3,0,0
26/11/2023,16:30,Hoffenheim,Mainz,1,1,D,15,15,6,6,9,14,4,5,4,4,0,0
01/12/2023,19:30,Darmstadt,FC Koln,0,1,A,11,11,1,6,12,12,1,6,1,3,0,0
02/12/2023,14:30,Bochum,Wolfsburg,3,1,H,19,15,9,6,14,13,6,6,6,2,0,0
02/12/2023,14:30,M'gladbach,Hoffenheim,2,1,H,9,17,3,5,12,14,6,3,2,2,0,0
02/12/2023,14:30,RB Leipzig,Heidenheim,2,1,H,23,7,8,1,13,16,5,3,2,2,0,0
02/12/2023,17:30,Stuttgart,Werder Bremen,2,0,H,17,11,6,3,7,9,6,7,1,0,0,0
03/12/2023,14:30,Mainz,Freiburg,0,1,A,19,13,6,5,16,11,14,3,1,1,0,0
03/12/2023,16:30,Leverkusen,Dortmund,1,1,D,22,6,6,2,12,12,16,1,3,2,0,0
03/12/2023,18:30,Augsburg,Ein Frankfurt,2,1,H,9,12,4,6,9,10,2,4,1,1,0,0
08/12/2023,19:30,Hoffenheim,Bochum,3,1,H,18,22,7,5,18,11,4,5,3,2,0,0
09/12/2023,14:30,Ein Frankfurt,Bayern Munich,5,1,H,14,17,6,6,8,7,1,9,1,2,0,0
09/12/2023,14:30,Heidenheim,Darmstadt,3,2,H,16,20,7,7,17,13,8,3,2,2,0,0
09/12/2023,14:30,Union Berlin,M'gladbach,3,1,H,16,13,6,4,9,8,6,7,1,3,0,0
09/12/2023,14:30,Werder Bremen,Augsburg,2,0,H,12,11,5,1,13,9,5,2,1,2,0,0
09/12/2023,14:30,Wolfsburg,Freiburg,0,1,A,10,4,3,1,11,16,5,3,1,4,0,0
09/12/2023,17:30,Dortmund,RB Leipzig,2,3,A,18,24,6,8,6,11,6,6,1,3,1,0
10/12/2023,14:30,Stuttgart,Leverkusen,1,1,D,22,20,12,6,8,7,8,8,1,1,0,0
10/12/2023,16:30,FC Koln,Mainz,0,0,D,7,13,3,5,10,10,1,7,2,4,0,0
15/12/2023,19:30,M'gladbach,Werder Bremen,2,2,D,15,10,4,5,10,12,4,3,4,2,0,0
16/12/2023,14:30,Augsburg,Dortmund,1,1,D,20,24,4,6,13,4,4,7,2,1,0,0
16/12/2023,14:30,Bochum,Union Berlin,3,0,H,21,10,7,2,12,13,6,4,2,2,0,0
16/12/2023,14:30,Darmstadt,Wolfsburg,0,1,A,14,11,4,3,16,10,7,7,2,0,0,1
16/12/2023,14:30,Mainz,Heidenheim,0,1,A,16,5,4,2,9,20,8,1,3,3,0,0
16/12/2023,17:30,RB Leipzig,Hoffenheim,3,1,H,23,10,11,4,11,9,9,2,3,2,0,0
17/12/2023,14:30,Freiburg,FC Koln,2,0,H,23,7,7,1,13,10,5,2,1,4,0,1
17/12/2023,16:30,Leverkusen,Ein Frankfurt,3,0,H,14,4,6,2,4,13,5,5,1,1,0,0
17/12/2023,18:30,Bayern Munich,Stuttgart,3,0,H,17,5,8,2,7,8,6,2,0,3,0,0
19/12/2023,17:30,Werder Bremen,RB Leipzig,1,1,D,11,18,3,9,15,9,1,4,4,2,0,0
19/12/2023,19:30,Dortmund,Mainz,1,1,D,21,11,8,6,11,14,6,1,0,4,0,0
19/12/2023,19:30,Hoffenheim,Darmstadt,3,3,D,13,14,4,3,9,15,8,3,2,4,0,0
20/12/2023,17:30,Union Berlin,FC Koln,2,0,H,12,15,8,7,10,7,4,5,0,0,0,0
20/12/2023,19:30,Ein Frankfurt,M'gladbach,2,1,H,15,7,7,2,11,14,8,2,1,6,0,1
20/12/2023,19:30,Heidenheim,Freiburg,3,2,H,14,10,3,4,20,12,7,4,3,4,0,0
20/12/2023,19:30,Leverkusen,Bochum,4,0,H,15,6,8,1,7,12,4,3,0,2,0,0
20/12/2023,19:30,Stuttgart,Augsburg,3,0,H,17,6,7,5,8,14,4,4,0,4,0,0
20/12/2023,19:30,Wolfsburg,Bayern Munich,1,2,A,5,20,4,7,14,12,0,6,4,2,0,0
12/01/2024,19:30,Bayern Munich,Hoffenheim,3,0,H,27,12,12,4,8,6,11,2,1,3,0,1
13/01/2024,14:30,Augsburg,Leverkusen,0,1,A,2,25,0,6,11,4,0,12,3,1,0,0
13/01/2024,14:30,FC Koln,Heidenheim,1,1,D,13,10,6,2,12,11,9,6,2,1,0,0
13/01/2024,14:30,Freiburg,Union Berlin,0,0,D,14,8,4,4,7,9,4,3,0,2,0,0
13/01/2024,14:30,Mainz,Wolfsburg,1,1,D,12,9,4,4,21,16,7,3,3,4,0,0
13/01/2024,14:30,RB Leipzig,Ein Frankfurt,0,1,A,26,5,7,1,7,16,15,4,0,2,0,0
13/01/2024,17:30,Darmstadt,Dortmund,0,3,A,10,17,2,8,10,13,3,4,1,3,0,0
14/01/2024,14:30,Bochum,Werder Bremen,1,1,D,13,15,4,4,14,14,3,4,6,5,0,0
14/01/2024,16:30,M'gladbach,Stuttgart,3,1,H,8,14,4,2,7,11,0,3,3,3,0,0
20/01/2024,14:30,Bochum,Stuttgart,1,0,H,6,17,1,4,16,16,1,7,5,3,0,0
20/01/2024,14:30,Darmstadt,Ein Frankfurt,2,2,D,13,7,3,4,11,7,4,1,1,1,0,0
20/01/2024,14:30,FC Koln,Dortmund,0,4,A,16,11,5,7,16,7,13,4,2,2,0,0
20/01/2024,14:30,Freiburg,Hoffenheim,3,2,H,16,16,8,4,18,10,2,2,3,3,1,0
20/01/2024,14:30,Heidenheim,Wolfsburg,1,1,D,12,12,3,3,11,10,4,2,0,1,0,0
20/01/2024,17:30,RB Leipzig,Leverkusen,2,3,A,11,18,6,5,11,11,1,9,2,3,0,0
21/01/2024,14:30,Bayern Munich,Werder Bremen,0,1,A,21,8,6,3,12,7,10,2,2,1,0,0
21/01/2024,16:30,M'gladbach,Augsburg,1,2,A,18,15,4,7,10,20,5,7,1,2,0,0
24/01/2024,19:30,Bayern Munich,Union Berlin,1,0,H,24,4,10,1,5,9,12,1,2,4,0,0
26/01/2024,19:30,Ein Frankfurt,Mainz,1,0,H,13,7,4,0,10,12,2,1,2,1,0,0
27/01/2024,14:30,Augsburg,Bayern Munich,2,3,A,14,13,7,4,12,11,4,5,2,6,0,0
27/01/2024,14:30,Hoffenheim,Heidenheim,1,1,D,20,15,8,3,11,13,9,5,4,0,0,0
27/01/2024,14:30,Stuttgart,RB Leipzig,5,2,H,19,4,11,2,9,11,9,3,1,4,0,0
27/01/2024,14:30,Werder Bremen,Freiburg,3,1,H,14,7,4,4,14,10,5,5,2,1,0,0
27/01/2024,14:30,Wolfsburg,FC Koln,1,1,D,12,6,5,2,17,12,6,3,5,3,0,0
27/01/2024,17:30,Leverkusen,M'gladbach,0,0,D,28,4,8,3,15,6,8,2,3,1,0,0
28/01/2024,14:30,Union Berlin,Darmstadt,1,0,H,19,15,6,1,13,9,4,3,3,2,0,0
28/01/2024,16:30,Dortmund,Bochum,3,1,H,15,10,6,4,10,16,8,4,1,3,0,0
02/02/2024,19:30,Heidenheim,Dortmund,0,0,D,11,13,0,5,7,7,4,6,0,2,0,0
03/02/2024,14:30,Bayern Munich,M'gladbach,3,1,H,21,11,6,4,11,9,6,5,0,1,0,0
03/02/2024,14:30,Bochum,Augsburg,1,1,D,9,12,4,6,17,14,3,5,3,1,0,0
03/02/2024,14:30,Darmstadt,Leverkusen,0,2,A,8,18,6,7,14,8,4,3,2,2,0,0
03/02/2024,14:30,Freiburg,Stuttgart,1,3,A,7,17,4,9,10,7,1,6,4,2,1,0
03/02/2024,14:30,Mainz,Werder Bremen,0,1,A,20,6,5,1,22,16,11,1,4,3,0,0
03/02/2024,17:30,FC Koln,Ein Frankfurt,2,0,H,14,11,4,4,8,13,7,7,1,4,0,2
04/02/2024,14:30,Wolfsburg,Hoffenheim,2,2,D,14,17,8,7,12,16,7,2,2,3,0,0
04/02/2024,16:30,RB Leipzig,Union Berlin,2,0,H,16,10,6,2,13,11,5,4,1,2,0,1
07/02/2024,17:30,Mainz,Union Berlin,1,1,D,16,15,7,4,14,15,8,3,2,4,0,0
09/02/2024,19:30,Dortmund,Freiburg,3,0,H,17,6,8,3,13,7,5,3,2,0,0,0
10/02/2024,14:30,Augsburg,RB Leipzig,2,2,D,11,9,4,6,15,10,1,3,5,1,0,0
10/02/2024,14:30,Ein Frankfurt,Bochum,1,1,D,8,14,2,5,6,12,8,3,2,2,0,0
10/02/2024,14:30,M'gladbach,Darmstadt,0,0,D,22,10,8,1,11,15,7,2,0,5,0,0
10/02/2024,14:30,Union Berlin,Wolfsburg,1,0,H,7,15,2,5,12,9,6,10,1,2,0,0
10/02/2024,14:30,Werder Bremen,Heidenheim,1,2,A,14,10,3,3,10,13,5,10,1,2,0,0
10/02/2024,17:30,Leverkusen,Bayern Munich,3,0,H,14,8,8,1,13,13,4,6,3,2,0,0
11/02/2024,14:30,Stuttgart,Mainz,3,1,H,10,16,7,6,7,9,4,5,1,1,0,0
11/02/2024,16:30,Hoffenheim,FC Koln,1,1,D,10,5,4,1,12,13,10,3,3,4,0,0
