Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
21/10/2023,19:45,Sassuolo,Lazio,0,2,A,9,18,2,6,6,10,5,7,1,5,0,0
22/10/2023,11:30,Roma,Monza,1,0,H,21,11,4,4,11,11,8,5,2,4,0,1
22/10/2023,14:00,Bologna,Frosinone,2,1,H,12,12,6,5,10,14,4,5,2,2,0,1
22/10/2023,14:00,Salernitana,Cagliari,2,2,D,13,13,2,6,11,12,8,5,3,4,0,0
22/10/2023,17:00,Atalanta,Genoa,2,0,H,13,15,8,4,17,9,8,4,4,2,0,0
22/10/2023,19:45,Milan,Juventus,0,1,A,7,14,1,4,12,16,6,3,1,4,1,0
23/10/2023,17:30,Udinese,Lecce,1,1,D,12,12,6,1,11,15,2,7,3,5,0,0
23/10/2023,19:45,Fiorentina,Empoli,0,2,A,19,7,7,3,13,17,13,3,1,3,0,0
27/10/2023,19:45,Genoa,Salernitana,1,0,H,8,7,4,2,11,19,7,0,3,4,0,0
28/10/2023,14:00,Sassuolo,Bologna,1,1,D,17,9,6,5,11,10,6,2,1,4,0,0
28/10/2023,17:00,Lecce,Torino,0,1,A,11,10,6,2,17,19,3,0,3,5,0,0
28/10/2023,19:45,Juventus,Verona,1,0,H,30,7,6,1,13,8,5,1,3,2,0,0
29/10/2023,11:30,Cagliari,Frosinone,4,3,H,24,10,6,6,8,7,5,7,1,4,0,0
29/10/2023,14:00,Monza,Udinese,1,1,D,10,10,4,3,15,11,10,3,2,1,0,0
29/10/2023,17:00,Inter,Roma,1,0,H,19,3,3,1,14,9,8,0,3,4,0,0
29/10/2023,19:45,Napoli,Milan,2,2,D,17,20,4,6,14,10,6,4,4,3,1,0
30/10/2023,17:30,Empoli,Atalanta,0,3,A,9,18,2,6,10,13,3,6,4,0,0,0
30/10/2023,19:45,Lazio,Fiorentina,1,0,H,11,9,4,5,12,17,0,4,3,3,0,0
03/11/2023,19:45,Bologna,Lazio,1,0,H,6,11,2,1,12,8,2,6,2,5,0,0
04/11/2023,14:00,Salernitana,Napoli,0,2,A,10,21,3,8,15,10,8,9,1,1,0,0
04/11/2023,17:00,Atalanta,Inter,1,2,A,14,10,4,4,13,9,6,1,4,1,1,0
04/11/2023,19:45,Milan,Udinese,0,1,A,14,12,5,2,13,14,11,5,1,2,0,0
05/11/2023,11:30,Verona,Monza,1,3,A,16,12,5,6,6,12,2,6,1,2,0,0
05/11/2023,14:00,Cagliari,Genoa,2,1,H,12,8,4,2,14,11,1,1,4,2,0,0
05/11/2023,17:00,Roma,Lecce,2,1,H,15,15,5,4,18,11,5,2,3,5,0,0
05/11/2023,19:45,Fiorentina,Juventus,0,1,A,25,4,4,3,12,21,9,2,1,3,0,0
06/11/2023,17:30,Frosinone,Empoli,2,1,H,17,10,5,2,7,9,9,2,3,2,0,0
06/11/2023,19:45,Torino,Sassuolo,2,1,H,21,5,9,2,9,6,9,2,1,1,0,0
10/11/2023,17:30,Sassuolo,Salernitana,2,2,D,29,9,9,2,12,14,11,0,2,1,0,0
10/11/2023,19:45,Genoa,Verona,1,0,H,16,7,6,1,9,16,6,7,1,4,0,0
11/11/2023,14:00,Lecce,Milan,2,2,D,14,10,5,6,12,16,3,1,4,6,0,1
11/11/2023,17:00,Juventus,Cagliari,2,1,H,18,11,4,2,14,8,12,4,3,1,0,0
11/11/2023,19:45,Monza,Torino,1,1,D,12,12,5,5,11,11,3,1,2,2,0,0
12/11/2023,11:30,Napoli,Empoli,0,1,A,18,8,7,3,11,13,8,3,1,1,0,0
12/11/2023,14:00,Fiorentina,Bologna,2,1,H,12,11,4,4,19,15,0,3,2,2,0,0
12/11/2023,14:00,Udinese,Atalanta,1,1,D,13,8,4,2,13,13,7,7,2,3,0,0
12/11/2023,17:00,Lazio,Roma,0,0,D,7,8,2,1,12,13,4,1,3,4,0,0
12/11/2023,19:45,Inter,Frosinone,2,0,H,21,12,6,3,7,16,9,4,0,1,0,0
25/11/2023,14:00,Salernitana,Lazio,2,1,H,13,13,6,2,11,12,4,9,5,3,0,0
25/11/2023,17:00,Atalanta,Napoli,1,2,A,16,11,5,4,15,9,5,4,2,2,0,0
25/11/2023,19:45,Milan,Fiorentina,1,0,H,9,20,6,4,9,10,3,11,1,2,0,0
26/11/2023,11:30,Cagliari,Monza,1,1,D,17,12,6,4,10,15,10,11,1,2,0,0
26/11/2023,14:00,Empoli,Sassuolo,3,4,A,11,17,9,9,20,15,6,5,4,2,0,0
26/11/2023,14:00,Frosinone,Genoa,2,1,H,9,13,5,3,5,14,4,2,2,4,0,0
26/11/2023,17:00,Roma,Udinese,3,1,H,12,6,5,2,8,15,7,1,1,3,0,0
